target_id	length	eff_length	est_counts	tpm
ENSMUST00000177564.1	16	2.90202	0	0
ENSMUST00000196221.1	9	2.70348	0	0
ENSMUST00000178537.1	12	2.81731	0	0
ENSMUST00000178862.1	14	2.86466	0	0
ENSMUST00000179520.1	11	2.78701	0	0
ENSMUST00000179883.1	16	2.90202	0	0
ENSMUST00000195858.1	10	2.74992	0	0
ENSMUST00000180001.1	17	2.91871	0	0
ENSMUST00000178815.1	10	2.74992	0	0
ENSMUST00000177965.1	17	2.91871	0	0
ENSMUST00000178909.1	29	3.1025	0	0
ENSMUST00000177646.1	10	2.74992	0	0
ENSMUST00000178230.1	17	2.91871	0	0
ENSMUST00000178483.1	29	3.1025	0	0
ENSMUST00000179262.1	10	2.74992	0	0
ENSMUST00000178549.1	17	2.91871	0	0
ENSMUST00000193012.1	29	3.1025	0	0
ENSMUST00000179166.1	10	2.74992	0	0
ENSMUST00000179560.1	17	2.91871	0	0
ENSMUST00000177839.1	17	2.91871	0	0
ENSMUST00000103439.1	23	3.01024	0	0
ENSMUST00000180266.1	17	2.91871	0	0
ENSMUST00000103441.1	23	3.01024	0	0
ENSMUST00000199137.1	347	168	1	26.8806
ENSMUST00000103679.2	345	166	1	27.2045
ENSMUST00000103685.2	345	166	1	27.2045
ENSMUST00000103664.5	343	164	1	27.5363
ENSMUST00000103638.5	377	198	1	22.8078
ENSMUST00000103641.5	337	158	2	57.1639
ENSMUST00000184687.1	275	96.0001	0	0
ENSMUST00000103667.5	350	171	1	26.4091
ENSMUST00000180380.2	331	152	2	59.4204
ENSMUST00000184905.1	264	85.0011	0	0
ENSMUST00000103589.5	361	182	1	24.8129
ENSMUST00000103670.3	343	164	1	27.5363
ENSMUST00000103671.3	328	149	1	30.3084
ENSMUST00000103672.8	341	162	1	27.8762
ENSMUST00000186545.1	338	159	1	28.4022
ENSMUST00000103673.10	328	149	1	30.3084
ENSMUST00000186573.1	325	146	1	30.9312
ENSMUST00000103674.5	358	179	1	25.2288
ENSMUST00000180938.2	328	149	1	30.3084
ENSMUST00000103676.8	337	158	1	28.582
ENSMUST00000187163.1	334	155	1	29.1352
ENSMUST00000103678.3	348	169	1	26.7216
ENSMUST00000197130.4	348	169	1	26.7216
ENSMUST00000103677.2	345	166	1	27.2045
ENSMUST00000180711.2	347	168	1	26.8806
ENSMUST00000184650.1	338	159	1	28.4022
ENSMUST00000181728.2	341	162	1	27.8762
ENSMUST00000103643.3	328	149	1	30.3084
ENSMUST00000103581.5	337	158	1	28.582
ENSMUST00000181210.2	338	159	1	28.4022
ENSMUST00000183488.1	335	156	1	28.9484
ENSMUST00000103583.4	343	164	1	27.5363
ENSMUST00000103584.3	344	165	1	27.3694
ENSMUST00000103585.3	343	164	2	55.0725
ENSMUST00000200609.1	337	158	1	28.582
ENSMUST00000200115.1	347	168	1	26.8806
ENSMUST00000103650.2	344	165	1	27.3694
ENSMUST00000103651.3	331	152	1	29.7102
ENSMUST00000198297.1	364	185	1	24.4105
ENSMUST00000200101.1	352	173	1	26.1038
ENSMUST00000103653.2	349	170	1	26.5644
ENSMUST00000103654.2	340	161	1	28.0494
ENSMUST00000103655.2	331	152	1	29.7102
ENSMUST00000180972.2	344	165	1	27.3694
ENSMUST00000103657.5	347	168	1	26.8806
ENSMUST00000103658.3	331	152	1	29.7102
ENSMUST00000179267.3	364	185	2	48.8211
ENSMUST00000184874.1	276	97.0001	2.94393e-08	1.37058e-06
ENSMUST00000103660.3	370	191	1	23.6437
ENSMUST00000181768.2	343	164	2	55.0725
ENSMUST00000183835.1	276	97.0001	0	0
ENSMUST00000103662.5	340	161	1	28.0494
ENSMUST00000103663.5	331	152	1	29.7102
ENSMUST00000177622.3	337	158	1	28.582
ENSMUST00000178252.2	340	161	1	28.0494
ENSMUST00000177703.2	347	168	1	26.8806
ENSMUST00000197954.1	331	152	2	59.4204
ENSMUST00000103596.2	264	85.0011	0	0
ENSMUST00000196802.1	364	185	2	48.8211
ENSMUST00000103597.2	276	97.0001	2.94393e-08	1.37058e-06
ENSMUST00000199800.1	352	173	1	26.1038
ENSMUST00000196023.1	343	164	2	55.0725
ENSMUST00000103599.2	276	97.0001	0	0
ENSMUST00000200548.1	310	131	1	34.4729
ENSMUST00000167409.1	307	128	1	35.2809
ENSMUST00000103600.2	331	152	1	29.7102
ENSMUST00000179701.1	343	164	1	27.5363
ENSMUST00000178650.2	338	159	0	0
ENSMUST00000196756.1	337	158	1	28.582
ENSMUST00000179512.2	337	158	1	28.582
ENSMUST00000198439.4	337	158	1	28.582
ENSMUST00000103605.2	334	155	1	29.1352
ENSMUST00000103606.1	353	174	1	25.9537
ENSMUST00000196079.1	331	152	2	59.4204
ENSMUST00000103607.2	264	85.0011	0	0
ENSMUST00000103608.3	361	182	1	24.8129
ENSMUST00000103609.1	341	162	1	27.8762
ENSMUST00000103611.1	338	159	1	28.4022
ENSMUST00000103612.1	343	164	1	27.5363
ENSMUST00000181793.2	344	165	2	54.7388
ENSMUST00000103613.2	287	108	0	0
ENSMUST00000199753.1	337	158	1	28.582
ENSMUST00000198682.1	347	168	1	26.8806
ENSMUST00000103587.3	344	165	1	27.3694
ENSMUST00000198359.1	331	152	1	29.7102
ENSMUST00000196639.1	364	185	1	24.4105
ENSMUST00000177578.1	340	161	1	28.0494
ENSMUST00000197433.4	352	173	0	0
ENSMUST00000103590.3	349	170	1	26.5644
ENSMUST00000198913.4	340	161	1	28.0494
ENSMUST00000180097.1	337	158	1	28.582
ENSMUST00000103618.1	331	152	1	29.7102
ENSMUST00000196674.1	338	159	1	28.4022
ENSMUST00000103619.2	341	162	1	27.8762
ENSMUST00000177705.2	340	161	1	28.0494
ENSMUST00000179583.2	347	168	1	26.8806
ENSMUST00000196941.1	331	152	2	59.4204
ENSMUST00000103622.2	264	85.0011	0	0
ENSMUST00000197614.1	364	185	2	48.8211
ENSMUST00000103623.2	276	97.0001	2.94393e-08	1.37058e-06
ENSMUST00000199112.1	352	173	1	26.1038
ENSMUST00000197557.1	343	164	2	55.0725
ENSMUST00000103625.2	276	97.0001	0	0
ENSMUST00000103626.2	340	161	1	28.0494
ENSMUST00000103627.2	331	152	1	29.7102
ENSMUST00000179997.1	343	164	1	27.5363
ENSMUST00000179607.2	350	171	2	52.8181
ENSMUST00000178100.2	337	158	1	28.582
ENSMUST00000179580.2	337	158	1	28.582
ENSMUST00000103632.3	337	158	1	28.582
ENSMUST00000199280.1	350	171	1	26.4091
ENSMUST00000103633.1	353	174	1	25.9537
ENSMUST00000196105.1	331	152	2	59.4204
ENSMUST00000103634.2	267	88.0006	0	0
ENSMUST00000103652.4	361	182	2	49.6258
